,player_slot,hero_id,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,level,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,won,match_id,match_id_int
377,3.0,37.0,4.0,9.0,24.0,53.0,6.0,309.0,460.0,24.0,,,,,,,,,0,5244610077.0,5244610077
378,4.0,79.0,2.0,6.0,21.0,51.0,3.0,269.0,482.0,22.0,,,,,,,,,1,5006186015.0,5006186015
380,131.0,47.0,6.0,10.0,18.0,307.0,7.0,444.0,496.0,24.0,,,,,,,,,0,5042130468.0,5042130468
381,129.0,36.0,10.0,5.0,23.0,30.0,5.0,368.0,394.0,15.0,,,,,,,,,1,5282418213.0,5282418213
382,130.0,68.0,3.0,12.0,27.0,56.0,9.0,369.0,463.0,25.0,,,,,,,,,1,5040596529.0,5040596529
383,128.0,10.0,1.0,8.0,4.0,113.0,18.0,242.0,338.0,15.0,7607.0,0.0,1492.0,1337.0,6570.0,5372.0,0.0,909.0,0,5421579837.0,5421579837
384,1.0,53.0,4.0,5.0,28.0,192.0,2.0,426.0,617.0,23.0,19632.0,3913.0,0.0,2767.0,13230.0,10435.0,1967.0,0.0,1,5435637311.0,5435637311
385,128.0,107.0,1.0,11.0,15.0,58.0,7.0,254.0,391.0,19.0,,,,,,,,,0,4878378560.0,4878378560
386,129.0,50.0,7.0,9.0,9.0,103.0,10.0,304.0,529.0,24.0,,,,,,,,,0,5009530438.0,5009530438
387,0.0,81.0,3.0,7.0,15.0,199.0,14.0,362.0,562.0,25.0,,,,,,,,,0,5134030408.0,5134030408
388,132.0,43.0,14.0,7.0,19.0,155.0,30.0,411.0,604.0,25.0,43163.0,2711.0,0.0,5750.0,13390.0,21887.0,1156.0,0.0,1,5448734288.0,5448734288
389,132.0,37.0,1.0,8.0,24.0,103.0,7.0,315.0,444.0,22.0,,,,,,,,,1,5193553493.0,5193553493
390,2.0,108.0,3.0,17.0,28.0,102.0,3.0,312.0,499.0,25.0,,,,,,,,,0,5082719830.0,5082719830
391,128.0,12.0,3.0,8.0,6.0,50.0,7.0,248.0,368.0,15.0,,,,,,,,,0,5022858840.0,5022858840
392,4.0,36.0,4.0,6.0,15.0,103.0,8.0,321.0,615.0,24.0,,,,,,,,,1,5230200421.0,5230200421
393,129.0,47.0,7.0,6.0,12.0,241.0,29.0,491.0,680.0,25.0,24611.0,3782.0,0.0,4624.0,16945.0,15336.0,1983.0,0.0,1,5387378283.0,5387378283
394,4.0,37.0,0.0,7.0,2.0,1.0,1.0,105.0,95.0,6.0,1851.0,0.0,2025.0,1.0,1315.0,1762.0,0.0,2270.0,0,5426876013.0,5426876013
395,131.0,105.0,7.0,10.0,14.0,163.0,1.0,486.0,745.0,26.0,,,,,,,,,1,5132564079.0,5132564079
396,2.0,86.0,2.0,14.0,6.0,49.0,4.0,284.0,344.0,14.0,,,,,,,,,0,4897943152.0,4897943152
397,132.0,26.0,4.0,11.0,24.0,29.0,2.0,256.0,490.0,23.0,,,,,,,,,0,5017642611.0,5017642611
398,4.0,105.0,11.0,9.0,14.0,47.0,1.0,421.0,563.0,19.0,,,,,,,,,1,5018076789.0,5018076789
399,1.0,47.0,11.0,8.0,6.0,169.0,21.0,443.0,503.0,20.0,29361.0,782.0,0.0,487.0,14805.0,18257.0,459.0,0.0,0,5337011832.0,5337011832
400,131.0,80.0,2.0,7.0,1.0,215.0,7.0,366.0,453.0,19.0,8481.0,1746.0,0.0,461.0,13010.0,4712.0,892.0,0.0,0,5335107192.0,5335107192
401,128.0,1.0,5.0,11.0,7.0,424.0,15.0,513.0,600.0,26.0,,,,,,,,,0,5326927483.0,5326927483
