player_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,won,match_id,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,ability_upgrades,additional_units,match_id_int
0.0,39.0,98.0,123.0,77.0,58.0,63.0,40.0,0.0,24.0,0.0,330.0,7.0,8.0,9.0,0.0,182.0,24.0,376.0,572.0,24.0,False,5522153501.0,24414.0,530.0,0.0,612.0,16725.0,14037.0,288.0,0.0,"[{'ability': 5173, 'time': 218, 'level': 1}, {'ability': 5175, 'time': 346, 'level': 2}, {'ability': 5173, 'time': 469, 'level': 3}, {'ability': 5174, 'time': 632, 'level': 4}, {'ability': 5175, 'time': 815, 'level': 5}, {'ability': 5176, 'time': 903, 'level': 6}, {'ability': 5175, 'time': 994, 'level': 7}, {'ability': 5173, 'time': 1099, 'level': 8}, {'ability': 5175, 'time': 1247, 'level': 9}, {'ability': 5174, 'time': 1251, 'level': 10}, {'ability': 5960, 'time': 1339, 'level': 11}, {'ability': 5176, 'time': 1428, 'level': 12}, {'ability': 5174, 'time': 1530, 'level': 13}, {'ability': 5174, 'time': 1771, 'level': 14}, {'ability': 6021, 'time': 1836, 'level': 15}, {'ability': 5173, 'time': 1951, 'level': 16}, {'ability': 5176, 'time': 2121, 'level': 17}, {'ability': 6407, 'time': 2522, 'level': 18}]",,5522153501
130.0,119.0,214.0,100.0,216.0,88.0,43.0,0.0,0.0,0.0,0.0,290.0,2.0,8.0,10.0,0.0,25.0,6.0,226.0,476.0,19.0,0.0,5485414431.0,,,,,,,,,,,5485414431
0.0,110.0,98.0,65.0,214.0,218.0,30.0,11.0,58.0,0.0,0.0,378.0,2.0,7.0,11.0,0.0,126.0,8.0,374.0,541.0,21.0,False,5547415590.0,17116.0,135.0,1220.0,821.0,12380.0,11268.0,63.0,517.0,"[{'ability': 5623, 'time': 178, 'level': 1}, {'ability': 5625, 'time': 337, 'level': 2}, {'ability': 5625, 'time': 426, 'level': 3}, {'ability': 5626, 'time': 576, 'level': 4}, {'ability': 5625, 'time': 663, 'level': 5}, {'ability': 5630, 'time': 753, 'level': 6}, {'ability': 5631, 'time': 834, 'level': 7}, {'ability': 5623, 'time': 977, 'level': 8}, {'ability': 5623, 'time': 1084, 'level': 9}, {'ability': 406, 'time': 1169, 'level': 10}, {'ability': 5623, 'time': 1318, 'level': 11}, {'ability': 5630, 'time': 1438, 'level': 12}, {'ability': 5626, 'time': 1515, 'level': 13}, {'ability': 5626, 'time': 1779, 'level': 14}, {'ability': 6235, 'time': 1979, 'level': 15}, {'ability': 5626, 'time': 2138, 'level': 16}, {'ability': 5630, 'time': 2236, 'level': 17}, {'ability': 6852, 'time': 2540, 'level': 18}]",,5547415590
3.0,41.0,249.0,166.0,75.0,36.0,63.0,75.0,0.0,0.0,0.0,306.0,9.0,6.0,9.0,0.0,166.0,17.0,402.0,564.0,20.0,False,5524582441.0,11940.0,0.0,0.0,392.0,12235.0,8628.0,0.0,0.0,"[{'ability': 5182, 'time': 145, 'level': 1}, {'ability': 5184, 'time': 314, 'level': 2}, {'ability': 5182, 'time': 401, 'level': 3}, {'ability': 5184, 'time': 476, 'level': 4}, {'ability': 5182, 'time': 582, 'level': 5}, {'ability': 5185, 'time': 764, 'level': 6}, {'ability': 5182, 'time': 825, 'level': 7}, {'ability': 5184, 'time': 934, 'level': 8}, {'ability': 5691, 'time': 1022, 'level': 9}, {'ability': 5184, 'time': 1276, 'level': 10}, {'ability': 6159, 'time': 1285, 'level': 11}, {'ability': 5185, 'time': 1420, 'level': 12}, {'ability': 5691, 'time': 1436, 'level': 13}, {'ability': 5691, 'time': 1548, 'level': 14}, {'ability': 6128, 'time': 1716, 'level': 15}, {'ability': 5691, 'time': 1826, 'level': 16}, {'ability': 5185, 'time': 1943, 'level': 17}, {'ability': 7388, 'time': 2143, 'level': 18}]",,5524582441
2.0,114.0,50.0,11.0,181.0,75.0,75.0,252.0,0.0,0.0,0.0,297.0,3.0,7.0,2.0,0.0,87.0,6.0,263.0,366.0,14.0,False,5533907001.0,9576.0,175.0,0.0,1654.0,6590.0,6574.0,130.0,0.0,"[{'ability': 5723, 'time': 132, 'level': 1}, {'ability': 5716, 'time': 310, 'level': 2}, {'ability': 5723, 'time': 390, 'level': 3}, {'ability': 5716, 'time': 618, 'level': 4}, {'ability': 5723, 'time': 709, 'level': 5}, {'ability': 5725, 'time': 820, 'level': 6}, {'ability': 5723, 'time': 1143, 'level': 7}, {'ability': 5716, 'time': 1220, 'level': 8}, {'ability': 5721, 'time': 1299, 'level': 9}, {'ability': 7024, 'time': 1450, 'level': 10}, {'ability': 5721, 'time': 1501, 'level': 11}, {'ability': 5725, 'time': 1690, 'level': 12}, {'ability': 5721, 'time': 1964, 'level': 13}, {'ability': 5721, 'time': 1965, 'level': 14}]",,5533907001
131.0,26.0,1.0,216.0,232.0,256.0,214.0,30.0,0.0,0.0,290.0,330.0,3.0,13.0,21.0,0.0,144.0,11.0,304.0,444.0,24.0,0.0,5440491582.0,,,,,,,,,,,5440491582
129.0,83.0,223.0,16.0,16.0,34.0,214.0,0.0,0.0,0.0,0.0,287.0,0.0,6.0,6.0,0.0,47.0,2.0,179.0,370.0,15.0,0.0,5395576898.0,,,,,,,,,,,5395576898
129.0,41.0,139.0,156.0,158.0,63.0,0.0,75.0,0.0,0.0,0.0,331.0,9.0,7.0,9.0,0.0,110.0,10.0,1064.0,1247.0,29.0,1.0,5505087555.0,,,,,,,,,,,5505087555
130.0,73.0,50.0,178.0,11.0,73.0,7.0,137.0,0.0,0.0,0.0,358.0,0.0,10.0,6.0,0.0,120.0,2.0,407.0,435.0,16.0,False,5535625284.0,7803.0,0.0,0.0,1478.0,10540.0,3636.0,0.0,0.0,"[{'ability': 5368, 'time': 219, 'level': 1}, {'ability': 5365, 'time': 303, 'level': 2}, {'ability': 5368, 'time': 337, 'level': 3}, {'ability': 5365, 'time': 478, 'level': 4}, {'ability': 5368, 'time': 589, 'level': 5}, {'ability': 5369, 'time': 813, 'level': 6}, {'ability': 5368, 'time': 962, 'level': 7}, {'ability': 5365, 'time': 991, 'level': 8}, {'ability': 5365, 'time': 1095, 'level': 9}, {'ability': 6119, 'time': 1171, 'level': 10}, {'ability': 5366, 'time': 1317, 'level': 11}, {'ability': 5369, 'time': 1428, 'level': 12}, {'ability': 5366, 'time': 1737, 'level': 13}, {'ability': 5366, 'time': 1979, 'level': 14}]",,5535625284
1.0,34.0,48.0,178.0,77.0,41.0,43.0,0.0,0.0,0.0,0.0,349.0,2.0,11.0,4.0,0.0,97.0,6.0,292.0,378.0,14.0,0.0,5467719761.0,,,,,,,,,,,5467719761
